Pitching Data for 453329 for game: gid_2014_08_31_mlb_tbamlb_1/																																																
dateStamp	park_sv_id		ab_tot  ab_ct	pit_id	bat_id	ab_id	des		type	id	sz_top	sz_bot	pfx_xDF	pfx_zDF	mlbpitch_name	zloc	pitcon	stand	strikes	balls	p_throwsgid			pdes			spin	norm_ht		inning		tstart		vystart		ftime		pfx_x		pfx_z		uncorted_pfx_x	uncorted_pfx_z	x0		y0	z0		vx0		vy0		vz0		ax		ay		az		strtspd	px		pz		pxold	pzold	sb
8/31/2014	140831_141449tba	4	4	453329	425766	12	Strikeout	S	92	3.69	1.81	-4.866	7.3	FT		0.937	L	2	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		213.513	0.57234		2		0.075151776	-132.0221127	0.30181523	-7.175715421	6.610577948	-7.175715421	6.610577948	-1.254482668	55	6.075342408	7.068628564	-135.135888	-2.544053718	-13.12900015	27.72899933	-20.08399988	92.28	0.546972954	3.29979837	0.667	3.288	2
8/31/2014	140831_141525tba	4	1	453329	523253	13	Strikeout	S	96	3.44	1.55	-3.386	8.012	FF		0.911	R	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		202.772	0.407407	2		0.074033967	-134.0012701	0.297494808	-5.659069125	7.325937817	-5.659069125	7.325937817	-1.479928047	55	6.115663873	4.183867411	-137.2043017	-4.137490557	-10.65700003	28.95600052	-18.38299966	93.63	-0.659931587	2.896241246	-0.549	2.88	0
8/31/2014	140831_141545tba	4	2	453329	523253	13	Strikeout	S	97	3.44	1.55	7.044	6.627	FC		0.906	R	1	0	R	gid_2014_08_31_mlb_tbamlb_1/	Swinging Strike		133.457	-0.453968	2		0.076366805	-129.9888879	0.305848292	4.414863658	5.935875378	4.414863658	5.935875378	-1.178508448	55	6.089847467	3.703898139	-132.8527041	-4.989046324	7.865999733	25.09100075	-21.60300089	90.68	1.070789093	2.089305852	1.215	2.066	1
8/31/2014	140831_141607tba	4	3	453329	523253	13	Strikeout	B	98	3.44	1.55	-4.328	6.801	FT		0.936	R	2	0	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			212.288	0.391534	2		0.074492684	-133.2737477	0.29816949	-6.592131141	6.138182521	-6.592131141	6.138182521	-0.942871313	55	6.167555905	8.745384341	-136.166302	-3.786250469	-12.35799977	25.97899933	-20.67199922	93.07	1.602238175	2.883731468	1.728	2.865	2
8/31/2014	140831_141628tba	4	4	453329	523253	13	Strikeout	S	99	3.44	1.55	-5.292	5.356	FT		0.914	R	2	1	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		224.414	0.796825	2		0.074481477	-133.2481381	0.298668905	-7.543907304	4.721698964	-7.543907304	4.721698964	-1.131536623	55	6.168346673	3.94005321	-136.2771306	-2.294870551	-14.09499976	27.21300049	-23.3570006	92.97	-0.70075	3.264613661	-0.595	3.248	12
8/31/2014	140831_143527tba	3	3	453329	446481	21	Pop Out		X	160	3.18	1.45	-0.229	10.85	FF		0.897	R	0	2	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, out(s)"	181.161	0.0843931	3		0.075291337	-131.7198078	0.303086448	-2.657182721	10.07921576	-2.657182721	10.07921576	-1.235480659	55	6.081401073	4.136276548	-134.9992139	-5.96440406	-4.821000005	29.15599937	-13.89200044	92.18	0.06712443	2.403308354	0.19	2.388	20
8/31/2014	140831_144649tba	4	1	453329	595281	26	Groundout	S	191	3.43	1.62	12.579	-7.443	CU		0.905	L	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		59.5776	0.710497	4		0.090257025	-109.7733962	0.365232008	8.699183655	-8.019673734	8.699183655	-8.019673734	-1.45472912	55	6.089848993	-1.595841972	-112.8234395	4.761521506	10.86899999	22.63099976	-42.19900156	77	-0.894019238	3.195709571	-0.711	3.168	0
8/31/2014	140831_144707tba	4	2	453329	595281	26	Groundout	S	192	3.43	1.62	3.473	6.543	FC		0.904	L	1	0	R	gid_2014_08_31_mlb_tbamlb_1/	Foul			152.233	-1.15249	4		0.077601223	-127.9378936	0.310575744	0.842072139	5.8343159	0.842072139	5.8343159	-1.319380515	55	5.946738514	2.691145071	-130.7062149	-5.690696074	1.454999958	23.86699982	-22.09799982	89.22	-0.039066359	1.508874316	0.092	1.482	1
8/31/2014	140831_144739tba	4	3	453329	595281	26	Groundout	B	193	3.43	1.62	3.275	4.54	CH		0.852	L	2	0	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			144.532	1.41657		4		0.08464472	-117.1907229	0.340329496	0.125784898	3.747142777	0.125784898	3.747142777	-1.220090811	55	6.010095201	-1.101569458	-120.0298526	1.53822858	0.18099979	22.45		-26.7870009	81.85	-1.714574182	3.809764906	-1.58	3.807	2
8/31/2014	140831_144755tba	4	4	453329	595281	26	Groundout	X	194	3.43	1.62	-6.107	5.917	FT		0.908	L	2	1	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, out(s)"	225.686	-0.374586	4		0.074776721	-132.6419241	0.300824143	-8.374784669	5.261388583	-8.374784669	5.261388583	-1.176036342	55	6.032231836	7.026743338	-135.8974247	-4.626284303	-15.42400023	29.14099998	-22.48900056	92.83	0.410274785	2.210054195	0.526	2.186	12
